img_url,caption,category,match_score
https://icdn.dantri.com.vn/thumb_w/640/2021/02/19/mua-hoa-buoidocx-1613701155506.jpeg,"Boredom, bored, people of Ha Thanh",Cooking and food,tensor(0.5542)
https://www.nmri.org.vn/assets/news/2017_03/improved-hybrid-maize.jpg,Climate Resilient Maize for Asia,People and everyday life,tensor(0.5426)
https://media.thestar.com.my/Prod/10392AB2-DD24-4350-B24E-10931A93EDE5,"NG AH NUI (IN FRONT) 68, ONE OF THE MANY WHO TOOK PART IN A MORNING EXERCISE GROUP WHO START EARLY IN THE MORNING IN THE SS3 COMMUNITY HALL PARK.",Sports and recreation,tensor(0.5370)
https://www.nalanda.org.my/wordpress/mainsite/wp-content/uploads/2017/04/IMG_4486-660x440.jpg,Bro.Tan expressing appreciation to Ajahn Tiradhammo for an excellent talk.,People and everyday life,tensor(0.5310)
https://image.vovworld.vn/325x203/Uploaded/vovworld/ecfzyrrtlyr/2020_10_01/ccl-12_SZGO.jpg,Role-model residential areas in Ca Mau province,People and everyday life,tensor(0.5281)
https://photo-cms-sggp.zadn.vn/w840/Uploaded/2021/zfuswurkxr/2021_03_27/11_fosz.jpg,Da Lat City’s tourism industry increasingly revived ảnh 4,People and everyday life,tensor(0.5238)
https://icdn.dantri.com.vn/thumb_w/640/2020/12/01/hinh-4-1606777548157.jpg,Enjoy great luck at the unique Mongolian fair in Dak Nong - 4,People and everyday life,tensor(0.5854)
https://www.msig.co.id/sites/msig_id/files/inline-images/Initiative1-min.png,Protecting Biodiversity For a Sustainable Future,Geography / buildings / landmarks,tensor(0.5243)
https://untirta.ac.id/wp-content/uploads/2018/10/IMG_4910-1.jpg,Food Security Festival 2018,People and everyday life,tensor(0.5383)
https://apicms.thestar.com.my/uploads/images/2020/12/17/thumbs/small/977022.jpg,"‘Long way to go’ for Penang hawker culture to get Unesco recognition, Singapore leads us again",Cooking and food,tensor(0.5248)
https://images.kienthuc.net.vn/zoom/800/uploaded/trucchinh2/2020_09_29/tuyet-pham-mai-chieu-thuy-tien-ty-co-dang-the-doc-la-hinh-3.jpg,Tuyet pham mai chieu thuy tien ty co dang the doc - la-Hinh-3,Traditions / art / history,tensor(0.5430)
https://image.sggp.org.vn/w570/Uploaded/2020/zfuswurkxr/2018_12_18/00_fvix_yzlq.jpg,HCMC kicks off series of events marking 100 years of cai luong,Traditions / art / history,tensor(0.5480)
https://www.itrip.id/wp-content/uploads/2020/08/Museum-Zoologi-Frater-Vianney.jpg,Museum Zoologi Frater Vianney,Objects / materials / clothing,tensor(0.5230)
https://apicms.thestar.com.my/uploads/images/2021/03/01/1061138.jpg,An inmate takes a book from the library of Avlona's prison school.,People and everyday life,tensor(0.5241)
